ID,site,hhedu,hhhage,hhhsex,hhethnic,hhsize,u05,povline,windex3,windex5,FS_score,FS
13213,korogocho,primary,45,male,Luo,6,0,yes,middle,second,3,Severely insecure
13214,viwandani,secondary,34,female,Kamba,4,1,yes,highest,highest,0,Secure
13217,viwandani,secondary,30,male,Kamba,1,0,no_(2),highest,highest,0,Secure
13219,viwandani,primary,51,male,Kamba,1,0,no_(2),middle,middle,0,Secure
13223,viwandani,never attended,49,male,Other,9,0,yes,lowest,second,0,Secure
13226,korogocho,primary,24,male,Kikuyu,1,0,no_(2),lowest,lowest,3,Severely insecure
13227,viwandani,secondary,43,male,Kisii,5,0,yes,highest,highest,0,Secure
13228,viwandani,primary,44,male,Kamba,1,0,no_(2),middle,fourth,2,Moderately insecure
13231,viwandani,secondary,33,male,Kisii,5,0,yes,highest,highest,0,Secure
13232,viwandani,primary,41,male,Kamba,1,0,no_(2),lowest,lowest,3,Severely insecure
13233,korogocho,never attended,53,female,Other,3,0,yes,lowest,lowest,0,Secure
13234,viwandani,primary,69,male,Luhya,1,0,no_(2),middle,middle,0,Secure
13235,korogocho,primary,35,male,Luhya,5,0,yes,highest,highest,3,Severely insecure
13236,korogocho,primary,31,female,Luhya,5,0,no_(2),lowest,lowest,3,Severely insecure
13238,viwandani,secondary,60,male,Kikuyu,2,0,no_(2),middle,fourth,0,Secure
13243,viwandani,primary,43,male,Kamba,6,1,yes,highest,highest,0,Secure
13245,korogocho,primary,64,male,Luhya,1,0,no_(2),lowest,lowest,2,Moderately insecure
13246,korogocho,primary,51,male,Kikuyu,6,0,yes,highest,fourth,2,Moderately insecure
13247,viwandani,secondary,46,female,Luo,3,0,no_(2),lowest,lowest,0,Secure
13249,viwandani,primary,28,female,Kamba,4,1,yes,lowest,second,0,Secure
13253,viwandani,secondary,33,male,Kamba,3,1,no_(2),highest,highest,0,Secure
13254,viwandani,primary,35,male,Kamba,4,2,no_(2),middle,fourth,2,Moderately insecure
13256,viwandani,secondary,37,male,Kamba,2,0,no_(2),lowest,lowest,2,Moderately insecure
13257,viwandani,secondary,22,male,Kikuyu,1,0,no_(2),middle,fourth,2,Moderately insecure
13258,viwandani,secondary,34,male,Kikuyu,2,0,no_(2),lowest,lowest,2,Moderately insecure
13259,korogocho,primary,34,female,Luo,5,0,yes,highest,fourth,3,Severely insecure
13260,viwandani,secondary,44,male,Kikuyu,4,0,no_(2),middle,middle,0,Secure
13265,korogocho,primary,36,female,Kikuyu,7,1,yes,highest,fourth,3,Severely insecure
13266,viwandani,highest,31,male,Kamba,4,2,no_(2),highest,fourth,0,Secure
13269,viwandani,secondary,40,male,Luo,7,0,yes,highest,fourth,3,Severely insecure
13270,korogocho,primary,61,male,Luhya,1,0,no_(2),highest,highest,1,Moderately insecure
13271,korogocho,highest,45,male,Luo,5,0,yes,highest,fourth,0,Secure
13273,viwandani,primary,28,female,Kamba,2,0,no_(2),lowest,second,0,Secure
13274,viwandani,primary,43,male,Kamba,2,0,yes,middle,second,2,Moderately insecure
13275,viwandani,primary,29,male,Kamba,1,0,no_(2),lowest,second,0,Secure
13276,korogocho,primary,49,male,Kikuyu,1,0,no_(2),highest,highest,0,Secure
13277,korogocho,never attended,94,female,Other,7,0,yes,highest,highest,3,Severely insecure
13284,viwandani,secondary,43,male,Kamba,2,0,no_(2),highest,fourth,0,Secure
13285,viwandani,highest,26,male,Luhya,3,1,no_(2),highest,highest,2,Moderately insecure
13287,korogocho,secondary,27,male,Luo,4,2,yes,highest,highest,1,Moderately insecure
13289,korogocho,never attended,54,male,Kikuyu,3,0,yes,highest,highest,0,Secure
13290,viwandani,secondary,21,male,Kikuyu,2,0,no_(2),middle,fourth,2,Moderately insecure
13292,viwandani,secondary,40,female,Luhya,7,0,yes,middle,middle,0,Secure
13294,korogocho,secondary,18,female,Luhya,3,0,yes,lowest,lowest,3,Severely insecure
13295,viwandani,secondary,39,male,Luo,7,1,yes,middle,middle,3,Severely insecure
13296,viwandani,primary,38,male,Kikuyu,2,0,no_(2),lowest,second,0,Secure
13298,korogocho,primary,28,female,Luhya,3,0,no_(2),lowest,lowest,1,Moderately insecure
13301,korogocho,secondary,44,male,Kamba,6,0,yes,highest,fourth,1,Moderately insecure
13303,korogocho,secondary,45,male,Kamba,5,0,yes,highest,fourth,2,Moderately insecure
13304,korogocho,primary,27,female,Kamba,3,1,yes,highest,highest,3,Severely insecure
13305,korogocho,primary,27,male,Luhya,6,1,yes,highest,highest,0,Secure
13306,viwandani,secondary,46,male,Kikuyu,1,0,no_(2),highest,highest,2,Moderately insecure
13312,viwandani,primary,41,male,Kamba,6,2,no_(2),highest,fourth,1,Moderately insecure
13313,korogocho,primary,51,male,Kikuyu,5,0,yes,lowest,second,0,Secure
13314,korogocho,highest,34,female,Kikuyu,2,1,no_(2),highest,highest,0,Secure
13315,viwandani,secondary,34,male,Kamba,4,1,no_(2),highest,fourth,2,Moderately insecure
13316,viwandani,primary,26,male,Kamba,3,1,no_(2),highest,fourth,0,Secure
13320,viwandani,secondary,36,male,Luo,3,0,no_(2),highest,fourth,3,Severely insecure
13323,korogocho,secondary,47,male,Luo,1,0,no_(2),lowest,lowest,0,Secure
13324,viwandani,secondary,43,male,Kamba,6,0,yes,lowest,second,3,Severely insecure
13325,viwandani,secondary,32,male,Kamba,3,1,no_(2),highest,highest,3,Severely insecure
13326,viwandani,primary,46,male,Luo,5,2,yes,lowest,second,2,Moderately insecure
13327,korogocho,primary,37,male,Kikuyu,5,0,yes,highest,fourth,3,Severely insecure
13328,viwandani,secondary,25,male,Kamba,3,0,yes,middle,middle,3,Severely insecure
13329,viwandani,secondary,49,male,Kamba,4,0,no_(2),middle,second,1,Moderately insecure
13332,korogocho,primary,36,male,Kamba,1,0,no_(2),lowest,second,2,Moderately insecure
13333,viwandani,secondary,44,male,Kamba,1,0,no_(2),middle,middle,0,Secure
